id,timestamp,cycle_number,state,previous_state,oil_price,gold_price,copper_price,dxy_price,oil_mom_5d,oil_mom_20d,gold_mom_5d,copper_mom_5d,dxy_mom_5d,oil_above_sma20,gold_following,copper_following,dxy_strong,oil_gold_corr,days_in_state,portfolio_value,daily_return,total_return
1,"2026-03-16T13:26:49.874Z",1,"DORMANT","DORMANT",95.35,5035.2998,5.807,100.3,0.61,51.61,-1.1,0.11,1.14,1,0,1,1,-0.005,0.0004238773148148148,300,0,0
2,"2026-03-17T08:13:28.645Z",1,"DORMANT","DORMANT",96.15,5027.5,5.771,99.835,15.22,54.26,-3.87,-2.25,0.67,1,0,0,1,-0.271,0.0004239351851851852,300,0,0
3,"2026-03-17T11:29:57.076Z",1,"DORMANT","DORMANT",95.64,5012.8999,5.7645,99.835,14.61,53.44,-4.15,-2.36,0.67,1,0,0,1,-0.278,0.00042386574074074077,300,0,0
4,"2026-03-17T12:05:18.508Z",1,"DORMANT","DORMANT",96.29,5011.2002,5.76,99.835,15.39,54.48,-4.18,-2.44,0.67,1,0,0,1,-0.281,0.0004241550925925926,300,0,0
5,"2026-03-17T12:07:38.128Z",1,"DORMANT","DORMANT",96.3,5008.6001,5.7635,99.835,15.4,54.5,-4.23,-2.38,0.67,1,0,0,1,-0.283,0.0004246296296296296,300,0,0
