timestamp,date,price_usd
1773234138544,2026-03-11,69350.52650059077
1773237819947,2026-03-11,70175.84884647054
1773241424599,2026-03-11,70623.27716209645
1773244875334,2026-03-11,70259.38523711842
1773248556628,2026-03-11,70564.76764531482
1773252005893,2026-03-11,70773.23922506295
1773255820305,2026-03-11,70632.16262448342
1773259400302,2026-03-11,70628.54927286094
1773262949290,2026-03-11,70653.86326410397
1773266581085,2026-03-11,70740.84529016365
1773270203170,2026-03-11,70399.56784593107
1773273754319,2026-03-12,70202.88635949187
1773277374301,2026-03-12,70222.96939195851
1773280997650,2026-03-12,69829.3960883143
1773284431447,2026-03-12,69310.47299210235
1773288127871,2026-03-12,69437.43494597558
1773291774924,2026-03-12,69366.46819725199
1773295392344,2026-03-12,69456.77838161282
1773299002792,2026-03-12,69477.58126785891
1773302613372,2026-03-12,69819.1395163015
1773306166481,2026-03-12,69873.54699369983
1773309740654,2026-03-12,69965.12439910452
1773313399983,2026-03-12,70410.776313674
1773316898333,2026-03-12,70446.04864493353
1773320510956,2026-03-12,70394.17441967604
1773324165636,2026-03-12,69946.98958100153
1773327808867,2026-03-12,69573.44808855272
1773331207779,2026-03-12,70350.70557737058
1773334950091,2026-03-12,70400.86986115224
1773338615909,2026-03-12,70219.81853454876
1773342126349,2026-03-12,69831.65145548187
1773345732896,2026-03-12,70478.88551994674
1773349406992,2026-03-12,70197.5330839794
1773352938352,2026-03-12,70310.98344617597
1773356594705,2026-03-12,70168.7542773972
1773360173734,2026-03-13,70495.67568002958
1773363796593,2026-03-13,71485.14595298373
1773367350292,2026-03-13,71636.02077745824
1773371027841,2026-03-13,71157.29995548744
1773374592528,2026-03-13,71402.44699242084
1773378113727,2026-03-13,71332.35527407174
1773381645270,2026-03-13,71605.42850767514
1773385278545,2026-03-13,71347.22352973108
1773388977579,2026-03-13,71626.30716984723
1773392547777,2026-03-13,71790.51173955765
1773396196581,2026-03-13,72039.91429367974
1773399772290,2026-03-13,72479.00197278638
1773403443677,2026-03-13,72257.33355590506
1773407004672,2026-03-13,72811.1463390778
1773410537333,2026-03-13,73479.76604347788
1773414169516,2026-03-13,72418.40119283782
1773417748239,2026-03-13,71826.53239420471
1773421398651,2026-03-13,71929.65397808861
1773425011564,2026-03-13,71008.47076387439
1773428591761,2026-03-13,71073.13309572938
1773432200902,2026-03-13,71182.3833483821
1773435741903,2026-03-13,71352.08921401051
1773439350036,2026-03-13,71143.18410708023
1773442982093,2026-03-13,70794.09447352387
1773446619476,2026-03-14,70965.28228600459
1773450211794,2026-03-14,70689.05192245601
1773453610025,2026-03-14,70859.84174916545
1773457351714,2026-03-14,70856.08993041962
1773460959969,2026-03-14,71077.08880135501
1773464518710,2026-03-14,71039.20366424312
1773468187350,2026-03-14,71011.29320098588
1773471806121,2026-03-14,70652.39350585645
1773475396648,2026-03-14,70601.52304011412
1773479010974,2026-03-14,70580.5484855447
1773482553681,2026-03-14,70539.27343461686
1773486099301,2026-03-14,70555.90077748458
1773489729942,2026-03-14,70714.59815430894
1773493361591,2026-03-14,70724.35668141994
1773496990096,2026-03-14,70882.7823514032
1773500588054,2026-03-14,70619.8198143914
1773504125968,2026-03-14,70602.17423220258
1773507782262,2026-03-14,70685.12450447425
1773511355626,2026-03-14,70618.0223290148
1773514930070,2026-03-14,70690.04718025915
1773518540311,2026-03-14,70703.14031485881
1773522009193,2026-03-14,70835.17460900525
1773525746460,2026-03-14,70809.74343130055
1773529401480,2026-03-14,70723.78060432566
1773533259142,2026-03-15,71122.93561633487
1773536927997,2026-03-15,71019.85971523909
1773540500452,2026-03-15,71163.18010932418
1773544297154,2026-03-15,71448.55927020362
1773547778581,2026-03-15,71426.78461210527
1773551380663,2026-03-15,71540.16542807396
1773554985701,2026-03-15,71576.92630814361
1773558574815,2026-03-15,71454.95959793388
1773561776214,2026-03-15,71449.02334070223
1773565339862,2026-03-15,71636.44609377658
1773568922266,2026-03-15,71827.47727845323
1773572561431,2026-03-15,71796.90292372422
1773576147633,2026-03-15,71849.26834156351
1773579684571,2026-03-15,71616.49549145128
1773583311895,2026-03-15,71557.56740824718
1773586910344,2026-03-15,71609.51482757785
1773590635496,2026-03-15,71491.25288274372
1773594221424,2026-03-15,71430.56399292653
1773597784172,2026-03-15,71831.06725444554
1773601339141,2026-03-15,71389.64804785485
1773604897994,2026-03-15,71557.0448250269
1773608571828,2026-03-15,71760.88018765219
1773612187978,2026-03-15,72080.43829377418
1773615834901,2026-03-15,72783.28669635301
1773619420268,2026-03-16,72799.1789981442
1773622930253,2026-03-16,72560.01961161768
1773626591578,2026-03-16,72753.6500288425
1773630202681,2026-03-16,72565.34143373226
1773633808360,2026-03-16,73658.22913876995
1773637401214,2026-03-16,73861.95608107506
1773640882934,2026-03-16,74157.34241148319
1773644632344,2026-03-16,73765.32077429206
1773648201713,2026-03-16,73485.98723788554
1773651804789,2026-03-16,73138.3743773866
1773655310788,2026-03-16,73259.31973150831
1773658942142,2026-03-16,73734.91279332073
1773662561875,2026-03-16,73565.81170904198
1773666166420,2026-03-16,73843.3241538607
1773669715209,2026-03-16,74019.4070913728
1773673358863,2026-03-16,73446.1842039846
1773676903512,2026-03-16,73263.87882074014
1773680532829,2026-03-16,73764.83336285164
1773684144088,2026-03-16,73954.17488339139
1773687780568,2026-03-16,73957.40834188467
1773691372241,2026-03-16,73958.31193466885
1773694819595,2026-03-16,74225.21989199621
1773698623788,2026-03-16,74438.82965717503
1773702050286,2026-03-16,74717.3894011731
1773705638551,2026-03-17,74858.14870100339
1773709355180,2026-03-17,75173.14226779129
1773712958672,2026-03-17,75632.41015615774
1773716628546,2026-03-17,75197.44389538407
1773720193275,2026-03-17,74426.47726466598
1773723761559,2026-03-17,74279.50516740244
1773727410176,2026-03-17,74004.71341039937
1773730883760,2026-03-17,74080.28999363363
1773734610257,2026-03-17,74251.47017440872
1773738165765,2026-03-17,74187.08468542341
1773741770920,2026-03-17,73931.42869131609
1773745379217,2026-03-17,73727.01590319516
1773749041536,2026-03-17,74049.99025292388
1773752404364,2026-03-17,73716.49902404359
1773756121391,2026-03-17,73664.92688506791
1773759765350,2026-03-17,74372.31505154063
1773763410001,2026-03-17,73938.45954892249
1773766987725,2026-03-17,74139.84966600154
1773770626983,2026-03-17,74522.97781759078
1773774170119,2026-03-17,74686.02993457245
1773777744229,2026-03-17,74511.43757475897
1773781392981,2026-03-17,74556.97200158171
1773784968723,2026-03-17,74690.90770773192
1773788566201,2026-03-17,74313.11694423317
1773792181062,2026-03-18,73926.27899152413
1773795782976,2026-03-18,73854.96886976
1773799373606,2026-03-18,74092.38831657296
1773802990508,2026-03-18,74358.62022555566
1773806412761,2026-03-18,74494.67471958217
1773810055674,2026-03-18,74179.81973580908
1773813749134,2026-03-18,73946.73033688653
1773817433029,2026-03-18,73961.87566925112
1773820983231,2026-03-18,73890.21271622225
1773824567001,2026-03-18,74036.09311491044
1773828174518,2026-03-18,74163.78094501335
1773831777859,2026-03-18,73939.52246684712
1773835386573,2026-03-18,72953.72917602796
1773838829830,2026-03-18,72387.28689365885
1773842587741,2026-03-18,72067.40252497199
1773846170135,2026-03-18,71297.85643495581
1773849738360,2026-03-18,71518.80469283315
1773853350113,2026-03-18,71328.61409583432
1773856932278,2026-03-18,71626.30657689057
1773860634328,2026-03-18,71026.62449466846
1773864179243,2026-03-18,71074.61890935857
1773867766070,2026-03-18,71238.10852868533
1773871212632,2026-03-18,71292.59033537445
1773874972451,2026-03-18,71136.52376150078
1773878574421,2026-03-19,71256.65956041873
1773882221975,2026-03-19,70995.49208200075
1773885748019,2026-03-19,71140.22164960648
1773889417086,2026-03-19,71052.20965877775
1773892943097,2026-03-19,71225.15940712935
1773896640928,2026-03-19,70844.73985109958
1773900151569,2026-03-19,70830.7659487663
1773903641841,2026-03-19,70551.5551160704
1773907246552,2026-03-19,70212.66707442794
1773910841605,2026-03-19,69971.39660037315
1773914582005,2026-03-19,70492.22671693734
1773918185773,2026-03-19,70125.92304238673
1773921612416,2026-03-19,69934.93151927635
1773925312904,2026-03-19,69298.87894108835
1773928998452,2026-03-19,69891.65869108934
1773932565270,2026-03-19,69550.63011862883
1773936161830,2026-03-19,69454.08947590156
1773939734705,2026-03-19,69446.04133014526
1773943280111,2026-03-19,69849.44114340031
1773946888461,2026-03-19,69818.76001818525
1773950475027,2026-03-19,70284.79229992839
1773954091143,2026-03-19,70491.5688120522
1773957733786,2026-03-19,70472.29443555106
1773961392665,2026-03-19,70147.45290782927
1773964953623,2026-03-20,69912.32846307463
1773968484282,2026-03-20,70219.72096303198
1773972146061,2026-03-20,70426.94072356535
1773975751861,2026-03-20,70435.78664589739
1773979365249,2026-03-20,70741.66407362273
1773982952298,2026-03-20,70772.03118023534
1773986582763,2026-03-20,70574.84559253055
1773990197343,2026-03-20,70485.67832017319
1773993716348,2026-03-20,70852.16480880113
1773997217157,2026-03-20,71037.67359152887
1774000989371,2026-03-20,70559.11237019852
1774004572336,2026-03-20,70593.94372748287
1774008139928,2026-03-20,70454.22833072978
1774011766902,2026-03-20,70314.35277681354
1774015381935,2026-03-20,69863.08791396998
1774018959855,2026-03-20,69739.70808468577
1774022589200,2026-03-20,69824.36946411383
1774026226438,2026-03-20,69848.23738975245
1774029795951,2026-03-20,69922.80531197492
1774033402166,2026-03-20,69731.46429879949
1774036966274,2026-03-20,70138.7419088915
1774040604070,2026-03-20,70036.79676847711
1774044123509,2026-03-20,70525.66120992822
1774047774633,2026-03-20,70781.08357698002
1774051244247,2026-03-21,70511.00634700106
1774054920626,2026-03-21,70683.13082950574
1774058521755,2026-03-21,70476.00823266465
1774062130543,2026-03-21,70717.09908340046
1774065694320,2026-03-21,70681.3117368
1774069368847,2026-03-21,70633.26137500843
1774073291213,2026-03-21,70715.81221084928
1774076821171,2026-03-21,70743.5837097416
1774080362765,2026-03-21,70690.39129587835
1774083755171,2026-03-21,70582.04532292718
1774087479250,2026-03-21,70643.73195218536
1774091090480,2026-03-21,70586.03151380002
1774094644816,2026-03-21,70635.87177138265
1774098231910,2026-03-21,70705.52326221105
1774101878273,2026-03-21,70722.73585326485
1774105255748,2026-03-21,70590.52579726202
1774109036838,2026-03-21,70642.8192357941
1774112458035,2026-03-21,70287.02223502546
1774116298389,2026-03-21,70312.70512781104
1774119955596,2026-03-21,70407.76826144295
1774123396225,2026-03-21,70377.09842445592
1774126820253,2026-03-21,70447.53457913788
1774130627860,2026-03-21,70340.289645773
1774134202603,2026-03-21,70292.26388186325
1774137944520,2026-03-22,68412.67504146349
1774141204248,2026-03-22,68897.26755616778
