coin,timestamp,date,price_usd
bitcoin,1773234138544,2026-03-11,69350.52650059077
bitcoin,1773237819947,2026-03-11,70175.84884647054
bitcoin,1773241424599,2026-03-11,70623.27716209645
bitcoin,1773244875334,2026-03-11,70259.38523711842
bitcoin,1773248556628,2026-03-11,70564.76764531482
bitcoin,1773252005893,2026-03-11,70773.23922506295
bitcoin,1773255820305,2026-03-11,70632.16262448342
bitcoin,1773259400302,2026-03-11,70628.54927286094
bitcoin,1773262949290,2026-03-11,70653.86326410397
bitcoin,1773266581085,2026-03-11,70740.84529016365
bitcoin,1773270203170,2026-03-11,70399.56784593107
bitcoin,1773273754319,2026-03-12,70202.88635949187
bitcoin,1773277374301,2026-03-12,70222.96939195851
bitcoin,1773280997650,2026-03-12,69829.3960883143
bitcoin,1773284431447,2026-03-12,69310.47299210235
bitcoin,1773288127871,2026-03-12,69437.43494597558
bitcoin,1773291774924,2026-03-12,69366.46819725199
bitcoin,1773295392344,2026-03-12,69456.77838161282
bitcoin,1773299002792,2026-03-12,69477.58126785891
bitcoin,1773302613372,2026-03-12,69819.1395163015
bitcoin,1773306166481,2026-03-12,69873.54699369983
bitcoin,1773309740654,2026-03-12,69965.12439910452
bitcoin,1773313399983,2026-03-12,70410.776313674
bitcoin,1773316898333,2026-03-12,70446.04864493353
bitcoin,1773320510956,2026-03-12,70394.17441967604
bitcoin,1773324165636,2026-03-12,69946.98958100153
bitcoin,1773327808867,2026-03-12,69573.44808855272
bitcoin,1773331207779,2026-03-12,70350.70557737058
bitcoin,1773334950091,2026-03-12,70400.86986115224
bitcoin,1773338615909,2026-03-12,70219.81853454876
bitcoin,1773342126349,2026-03-12,69831.65145548187
bitcoin,1773345732896,2026-03-12,70478.88551994674
bitcoin,1773349406992,2026-03-12,70197.5330839794
bitcoin,1773352938352,2026-03-12,70310.98344617597
bitcoin,1773356594705,2026-03-12,70168.7542773972
bitcoin,1773360173734,2026-03-13,70495.67568002958
bitcoin,1773363796593,2026-03-13,71485.14595298373
bitcoin,1773367350292,2026-03-13,71636.02077745824
bitcoin,1773371027841,2026-03-13,71157.29995548744
bitcoin,1773374592528,2026-03-13,71402.44699242084
bitcoin,1773378113727,2026-03-13,71332.35527407174
bitcoin,1773381645270,2026-03-13,71605.42850767514
bitcoin,1773385278545,2026-03-13,71347.22352973108
