timestamp,date,price_usd
1773234163168,2026-03-11,0.00002927908148364508
1773237814451,2026-03-11,0.00002950036075441451
1773241395257,2026-03-11,0.00002972513698286996
1773244986476,2026-03-11,0.000029395724837014305
1773248608133,2026-03-11,0.00002960760548012073
1773252255193,2026-03-11,0.00002958988517264398
1773255821740,2026-03-11,0.000029789665271642956
1773259397312,2026-03-11,0.000029598443098313825
1773262814830,2026-03-11,0.000029456517301967982
1773266633482,2026-03-11,0.00002961448275240533
1773270167257,2026-03-11,0.00002947208771940645
1773273740315,2026-03-12,0.00002938195356019247
1773277337633,2026-03-12,0.000029409593024122422
1773280994385,2026-03-12,0.00002921311984010064
1773284603344,2026-03-12,0.000028955441302240335
1773288103800,2026-03-12,0.0000289716190946581
1773291704526,2026-03-12,0.000028930908087345285
1773295333594,2026-03-12,0.000028985757599157685
1773299006943,2026-03-12,0.000028993721417106956
1773302617352,2026-03-12,0.000029170033295222733
1773306183427,2026-03-12,0.000029198186723763195
1773309664091,2026-03-12,0.000029341777513690678
1773313262627,2026-03-12,0.00002956909963594244
1773316928633,2026-03-12,0.000029434532742912257
1773320526362,2026-03-12,0.00002961478820123047
1773324182085,2026-03-12,0.000029439729234630818
1773327798538,2026-03-12,0.000029219120808683355
1773331417140,2026-03-12,0.00002947531186404363
1773334848825,2026-03-12,0.000029625546242481774
1773338595863,2026-03-12,0.00002978025518691026
1773342226765,2026-03-12,0.00002986265175997811
1773345764025,2026-03-12,0.000030221075862166068
1773349431482,2026-03-12,0.00002982785590836694
1773352971843,2026-03-12,0.00003012733640688454
1773356633979,2026-03-12,0.00003004351255154332
1773360146833,2026-03-13,0.00003011799829687073
1773363796888,2026-03-13,0.00003034445190383876
1773367225337,2026-03-13,0.00003060394736312192
1773371027647,2026-03-13,0.000030340536486993262
1773374592264,2026-03-13,0.000030467847386647896
1773378139803,2026-03-13,0.000030298495863959526
1773381732887,2026-03-13,0.000029964258994119028
1773385347282,2026-03-13,0.00003005188115673931
1773388975022,2026-03-13,0.000030036558398854474
1773392516359,2026-03-13,0.00003015849558110256
1773396054034,2026-03-13,0.000030507351723158544
1773399816977,2026-03-13,0.00003064077348633558
1773403437776,2026-03-13,0.00003116994995899358
1773407011096,2026-03-13,0.000031150804746440335
1773410559250,2026-03-13,0.00003129167738502147
1773414029727,2026-03-13,0.000030434937777694993
1773417824491,2026-03-13,0.00003053548418278197
1773421430186,2026-03-13,0.0000306455634276604
1773425002161,2026-03-13,0.00003010047213157727
1773428611366,2026-03-13,0.000030138909993586647
1773432215738,2026-03-13,0.000030112170396628867
1773435788928,2026-03-13,0.000030118329939346408
1773439239065,2026-03-13,0.00003014243781001382
1773443000861,2026-03-13,0.00002987358342372302
1773446439952,2026-03-14,0.000029988403673116755
1773450159453,2026-03-14,0.000029919552721487194
1773453625463,2026-03-14,0.000030153602720517197
1773457226605,2026-03-14,0.000030118939070905295
1773460828508,2026-03-14,0.000030180311541644125
1773464423684,2026-03-14,0.000030145156665277685
1773468224830,2026-03-14,0.000030048941296532782
1773471822711,2026-03-14,0.000029721733225111688
1773475419157,2026-03-14,0.000029610654726879618
1773479046574,2026-03-14,0.000029526207209123644
1773482588136,2026-03-14,0.000029494320343308452
1773486078111,2026-03-14,0.00002941710664613206
1773489790776,2026-03-14,0.00002952758794815347
1773493444229,2026-03-14,0.000029479726016654107
1773496881870,2026-03-14,0.000029645087967750822
1773500455440,2026-03-14,0.000029566634181981965
1773504062238,2026-03-14,0.000029547798462857217
1773507658034,2026-03-14,0.000029615341274824366
1773511213094,2026-03-14,0.000029480878802662428
1773514986778,2026-03-14,0.000029433301152912955
1773518576910,2026-03-14,0.000029348170225630627
1773522215882,2026-03-14,0.00002931630842399492
1773525828229,2026-03-14,0.000029365587350509443
1773529454819,2026-03-14,0.00002938106377705722
1773533368114,2026-03-15,0.000029628385045289234
1773536947615,2026-03-15,0.000029478580192427903
1773540561227,2026-03-15,0.000029635681386470982
1773544137398,2026-03-15,0.000030019819381900083
1773547751858,2026-03-15,0.000029759412161004275
1773551316928,2026-03-15,0.000029713749669834207
