id,timestamp,cycle_number,state,previous_state,oil_price,gold_price,copper_price,dxy_price,oil_mom_5d,oil_mom_20d,gold_mom_5d,copper_mom_5d,dxy_mom_5d,oil_above_sma20,gold_following,copper_following,dxy_strong,oil_gold_corr,days_in_state,portfolio_value,daily_return,total_return
1,"2026-03-18T08:31:57.011Z",1,"DORMANT","DORMANT",93.4,4992.2998,5.7075,99.33,7.05,43.27,-3.39,-2.36,0.53,1,0,0,1,-0.454,0.0004256712962962963,300,0,0
2,"2026-03-18T13:58:48.389Z",1,"DORMANT","DORMANT",97.67,4879.2998,5.5815,99.33,11.94,49.82,-5.58,-4.52,0.53,1,0,0,1,-0.496,0.00042550925925925927,300,0,0
3,"2026-03-18T21:53:40.622Z",1,"DORMANT","DORMANT",99.05,4823.8999,5.4735,99.33,13.52,51.94,-6.65,-6.36,0.53,1,0,0,1,-0.51,0.0004234375,300,0,0
4,"2026-03-18T21:56:55.009Z",1,"DORMANT","DORMANT",99.05,4823.8999,5.4735,99.33,13.52,51.94,-6.65,-6.36,0.53,1,0,0,1,-0.51,0.0004221990740740741,300,0,0
5,"2026-03-19T05:50:06.483Z",1,"DORMANT","DORMANT",96.85,4835.3999,5.472,99.873,1.17,45.79,-5.48,-6.05,0.65,1,0,0,1,-0.646,0.0004232986111111111,300,0,0
6,"2026-03-19T05:58:24.487Z",1,"DORMANT","DORMANT",96.71,4838.1001,5.472,99.873,1.02,45.58,-5.43,-6.05,0.65,1,0,0,1,-0.645,0.0004232175925925926,300,0,0
7,"2026-03-19T06:01:04.294Z",1,"DORMANT","DORMANT",96.52,4841.7002,5.467,99.873,0.83,45.3,-5.36,-6.14,0.65,1,0,0,1,-0.645,0.00042368055555555556,300,0,0
8,"2026-03-19T06:12:06.690Z",1,"DORMANT","DORMANT",96.53,4838.3999,5.463,99.873,0.84,45.31,-5.42,-6.21,0.65,1,0,0,1,-0.644,0.00042233796296296296,300,0,0
9,"2026-03-19T06:18:50.111Z",1,"DORMANT","DORMANT",96.46,4833.3999,5.471,99.873,0.76,45.21,-5.52,-6.07,0.65,1,0,0,1,-0.643,0.00042332175925925925,300,0,0
10,"2026-03-19T06:26:37.255Z",1,"DORMANT","DORMANT",96.23,4829.6001,5.48,99.873,0.52,44.86,-5.59,-5.91,0.65,1,0,0,1,-0.64,0.0004228819444444444,300,0,0
11,"2026-03-19T06:28:22.098Z",1,"DORMANT","DORMANT",96.19,4828.7998,5.48,99.873,0.48,44.8,-5.61,-5.91,0.65,1,0,0,1,-0.64,0.0004229398148148148,300,0,0
12,"2026-03-19T06:48:34.223Z",1,"DORMANT","DORMANT",96.65,4798,5.4435,99.873,0.96,45.49,-6.21,-6.54,0.65,1,0,0,1,-0.637,0.00042407407407407406,300,0,0
13,"2026-03-19T07:26:23.345Z",1,"DORMANT","DORMANT",96.46,4781.2998,5.4825,99.873,0.76,45.21,-6.54,-5.87,0.65,1,0,0,1,-0.632,0.00044457175925925925,300,0,0
14,"2026-03-19T07:29:06.506Z",1,"DORMANT","DORMANT",96,4776.8999,5.4885,99.873,0.28,44.51,-6.62,-5.77,0.65,1,0,0,1,-0.627,0.0004398148148148148,300,0,0
15,"2026-03-19T08:21:20.252Z",1,"DORMANT","DORMANT",96.31,4720.7998,5.4475,99.873,0.61,44.98,-7.72,-6.47,0.65,1,0,0,1,-0.615,0.0004238078703703704,300,0,0
16,"2026-03-19T09:17:41.412Z",1,"DORMANT","DORMANT",96.35,4710.5,5.4495,99.873,0.65,45.04,-7.92,-6.44,0.65,1,0,0,1,-0.613,0.00043072916666666666,300,0,0
17,"2026-03-19T09:36:44.486Z",1,"DORMANT","DORMANT",98.75,4714.5,5.4415,99.873,3.15,48.65,-7.84,-6.58,0.65,1,0,0,1,-0.635,0.00042425925925925926,300,0,0
18,"2026-03-19T09:46:36.281Z",1,"DORMANT","DORMANT",97.94,4720.3999,5.4455,99.873,2.31,47.43,-7.73,-6.51,0.65,1,0,0,1,-0.63,0.00043122685185185186,300,0,0
