id,timestamp,cycle_number,btc_price,fear_greed,btc_dominance,etf_flows_7d,current_state,previous_state,days_in_state,portfolio_value,btc_holdings,usdc_holdings,daily_return,total_return,btc_above_20_sma,sma_20_above_50,btc_was_strong_3d_ago,btc_was_strong_7d_ago,transition_progress,transition_message
1,"2026-03-12T09:05:18.288Z",1,69896.2,18,56.771134912182696,176819999.9999997,"DORMANT","N/A",0.00008002314814814814,391.70207021,0,391.70207021,0.0005285192749551713,0.0005285192749551713,1,0,1,1,0.00026647376543209876,"Dormancy Period (0.0/30d)"
2,"2026-03-12T13:05:24.770Z",2,70446.3,18,56.818658434955836,231830000.0000003,"DORMANT","N/A",0.16682172453703703,391.70207021,0,391.70207021,0.0005285192749551713,0.0005285192749551713,1,0,1,1,0.5560716435185185,"Dormancy Period (0.2/30d)"
3,"2026-03-12T17:05:31.251Z",3,70492.1,18,56.853421084331465,236410000.0000006,"DORMANT","N/A",0.3335633912037037,391.70207021,0,391.70207021,0.0005285192749551713,0.0005285192749551713,1,0,1,1,1.11187762345679,"Dormancy Period (0.3/30d)"
4,"2026-03-12T21:05:37.679Z",4,70321.7,18,56.81764933818811,219369999.9999997,"DORMANT","N/A",0.5003044560185185,391.70207021,0,391.70207021,0.0005285192749551713,0.0005285192749551713,1,0,1,1,1.6676810185185187,"Dormancy Period (0.5/30d)"
5,"2026-03-13T01:05:44.449Z",5,71598.3,15,56.87364908627127,432819999.9999997,"DORMANT","N/A",0.6670494907407407,391.70207021,0,391.70207021,0.0005285192749551713,0.0005285192749551713,1,0,1,1,2.223497800925926,"Dormancy Period (0.7/30d)"
6,"2026-03-13T05:05:50.763Z",6,71291.6,15,56.855221920056835,402150000,"DORMANT","N/A",0.8337892361111111,391.70207021,0,391.70207021,0.0005285192749551713,0.0005285192749551713,1,0,1,1,2.779297183641975,"Dormancy Period (0.8/30d)"
7,"2026-03-13T09:05:57.160Z",7,71904.1,15,57.000148442787655,463400000,"DORMANT","N/A",1.0005299421296296,391.70207021,0,391.70207021,0,0.0005285192749551713,1,0,1,1,3.3350991512345676,"Dormancy Period (1.0/30d)"
8,"2026-03-13T13:06:03.374Z",8,72886.8,15,57.064460500087336,561669999.9999998,"DORMANT","N/A",1.1672685300925927,391.70207021,0,391.70207021,0,0.0005285192749551713,1,0,1,1,3.8908949459876543,"Dormancy Period (1.2/30d)"
9,"2026-03-13T17:06:09.486Z",9,71920.9,15,56.96628966696253,465079999.9999988,"DORMANT","N/A",1.3340059259259258,391.70207021,0,391.70207021,0,0.0005285192749551713,1,0,1,1,4.446686033950618,"Dormancy Period (1.3/30d)"
10,"2026-03-16T11:46:44.263Z",1,73649.7,23,56.81426131324332,369430000.0000003,"DORMANT","N/A",0.0000803125,391.70207021,0,391.70207021,0.0005285192749551713,0.0005285192749551713,1,0,1,1,0.0002674382716049383,"Dormancy Period (0.0/30d)"
