id,timestamp,cycle_number,state,previous_state,price,fed_rate,treasury_yield,yield_spread,momentum_4w,rsi,days_in_state,portfolio_value,daily_return,total_return,fed_cutting,fed_easing,spread_favourable
1,"2026-03-16T11:45:47.895Z",1,"WATCHING","DORMANT",64.44,3.64,4.27,-0.2699999999999996,-1.8580566554980182,32.55,2.3148148148148148e-8,300,0,0,0,1,0
2,"2026-03-16T11:47:08.944Z",1,"WATCHING","DORMANT",64.44,3.64,4.27,-0.2699999999999996,-1.8580566554980182,32.55,1.1574074074074074e-8,300,0,0,0,1,0
